Cas,SHT_T,SHT_H,A1,A2,BIN,B1,B2,B3,B4,10fb957202080082,10a9136902080039,10c91f69020800db,10f1d8680208006b,10318672020800e0,10b6d468020800ba,101c4b72020800d2,1084dc6802080007,10c8e86802080094,1088f368020800ed,1008e3680208007b
15:45:48,24.21,37.7,0.01,0.01,1110,1,1,1,0,24.56,24.44,24.38,24.44,24.31,24.44,24.5,24.44,24.38,24.5,24.44
15:46:48,24.35,37.6,0.01,0.01,1110,1,1,1,0,24.56,24.5,24.56,24.56,24.44,24.5,24.62,24.5,24.44,24.56,24.56
15:47:48,24.43,37.4,0.01,0.01,1110,1,1,1,0,24.69,24.56,24.62,24.62,24.5,24.56,24.69,24.56,24.5,24.62,24.62
15:48:48,24.44,37.3,0.01,0.01,1110,1,1,1,0,24.69,24.62,24.62,24.69,24.56,24.62,24.69,24.62,24.56,24.69,24.69
15:49:49,24.44,37.2,0.01,0.01,1110,1,1,1,0,24.75,24.69,24.69,24.69,24.56,24.69,24.75,24.69,24.56,24.75,24.69
15:50:49,24.47,37.1,0.01,0.01,1110,1,1,1,0,24.75,24.75,24.75,24.75,24.62,24.69,24.81,24.75,24.62,24.75,24.75
15:51:49,24.53,37.0,0.01,0.01,1110,1,1,1,0,24.81,24.75,24.75,24.81,24.69,24.75,24.88,24.75,24.69,24.88,24.81
15:52:49,24.54,37.6,0.01,0.01,1110,1,1,1,0,24.94,24.81,24.88,24.88,24.75,24.81,24.94,24.81,24.69,24.88,24.88
15:53:49,24.56,37.6,0.01,0.01,1110,1,1,1,0,24.94,24.88,24.94,24.94,24.75,24.88,24.94,24.88,24.75,24.94,24.94
15:54:50,24.57,37.3,0.01,0.01,1110,1,1,1,0,24.94,24.88,24.94,24.94,24.81,24.88,25.0,24.94,24.75,25.0,24.94
15:55:50,24.59,37.2,0.01,0.01,1110,1,1,1,0,24.94,24.88,24.94,24.94,24.81,24.94,25.0,24.94,24.81,25.0,24.94
15:56:50,24.62,37.0,0.01,0.01,1110,1,1,1,0,25.0,24.94,24.94,24.94,24.88,24.94,25.0,24.94,24.88,25.0,25.0
15:57:50,24.64,37.1,0.01,0.01,1110,1,1,1,0,25.06,24.94,25.0,25.06,24.88,25.0,25.06,25.0,24.88,25.06,25.06
15:58:50,24.66,37.1,0.01,0.01,1110,1,1,1,0,25.12,25.0,25.06,25.12,24.94,25.0,25.19,25.06,24.88,25.12,25.12
