"Source:","/home/stepol/Dokumenty/KICAD/SIGEN/MultiChannel_datalogger/MultiChannel_datalogger.kicad_sch"
"Date:","Tue 07 Apr 2026 15:12:05 CEST"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","Brd1","SSD1306","SSD1306-128x64_OLED:SSD1306","",""
"","","BT1","3V","Device:Battery_Cell","","~"
"","","BT2","3V7 - 18650","Device:Battery_Cell","","~"
"","","C1","100nF","Device:C","","~"
"","","C2","10n","Device:C","","~"
"","","C3","100nF","Device:C","","~"
"","","C4","10n","Device:C","","~"
"","","C5","470uF","Device:C_Polarized","","~"
"","","C6","470uF","Device:C_Polarized","","~"
"","","C7","100nF","Device:C","","~"
"","","C8","100nF","Device:C","","~"
"","","D1","LED","Device:LED","","~"
"","","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","","~"
"","","J2","Conn_01x04_Female","Connector:Conn_01x04_Female","","~"
"","","J3","Conn_02x08_Top_Bottom","Connector_Generic:Conn_02x08_Top_Bottom","","~"
"","","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","","~"
"","","J5","Micro_SD_Card","Connector:Micro_SD_Card","","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"","","J6","Conn_01x03_Female","Connector:Conn_01x03_Female","","~"
"","","Q1","BSS84","Transistor_FET:BSS84","Package_TO_SOT_SMD:SOT-23","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf"
"","","Q2","BS170","Transistor_FET:BS170","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"","","R1","1k","Device:R","","~"
"","","R2","3k3","Device:R","","~"
"","","R3","10k","Device:R","","~"
"","","R4","10k","Device:R","","~"
"","","R5","1k","Device:R","","~"
"","","R6","10k","Device:R","","~"
"","","R7","10k","Device:R","","~"
"","","SW1","RotaryEncoder_Switch","Device:RotaryEncoder_Switch","","~"
"","","SW2","SW_SPDT_MSM","Switch:SW_SPDT_MSM","","~"
"","","U1","DS3231MZ","Timer_RTC:DS3231MZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf"
"","","U2","SHT4x","Sensor_Humidity:SHT4x","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf"
"","","U3","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH",""
"","","U4","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
"","","U5","18650_Boost_TypeC_Module",":18650_Boost_TypeC_Module_1","18650_Boost_Module:18650_Boost_TypeC_Module",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","Brd1","SSD1306","SSD1306-128x64_OLED:SSD1306","",""
"2","1","BT1","3V","Device:Battery_Cell","","~"
"3","1","BT2","3V7 - 18650","Device:Battery_Cell","","~"
"4","4","C1, C3, C7, C8","100nF","Device:C","","~"
"5","2","C2, C4","10n","Device:C","","~"
"6","2","C5, C6","470uF","Device:C_Polarized","","~"
"7","1","D1","LED","Device:LED","","~"
"8","1","J1","Conn_01x04_Male","Connector:Conn_01x04_Male","","~"
"9","1","J2","Conn_01x04_Female","Connector:Conn_01x04_Female","","~"
"10","1","J3","Conn_02x08_Top_Bottom","Connector_Generic:Conn_02x08_Top_Bottom","","~"
"11","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","","~"
"12","1","J5","Micro_SD_Card","Connector:Micro_SD_Card","","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"13","1","J6","Conn_01x03_Female","Connector:Conn_01x03_Female","","~"
"14","1","Q1","BSS84","Transistor_FET:BSS84","Package_TO_SOT_SMD:SOT-23","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf"
"15","1","Q2","BS170","Transistor_FET:BS170","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"16","2","R1, R5","1k","Device:R","","~"
"17","1","R2","3k3","Device:R","","~"
"18","4","R3, R4, R6, R7","10k","Device:R","","~"
"19","1","SW1","RotaryEncoder_Switch","Device:RotaryEncoder_Switch","","~"
"20","1","SW2","SW_SPDT_MSM","Switch:SW_SPDT_MSM","","~"
"21","1","U1","DS3231MZ","Timer_RTC:DS3231MZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231M.pdf"
"22","1","U2","SHT4x","Sensor_Humidity:SHT4x","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf"
"23","1","U3","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH",""
"24","1","U4","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
"25","1","U5","18650_Boost_TypeC_Module",":18650_Boost_TypeC_Module_1","18650_Boost_Module:18650_Boost_TypeC_Module",""
